accession_id	country	accession_name	taxonomy	narrative	cultivar_class	improvement_status	region	1	2	3	4	5	6	7	8	9	10	grp	pos
PI_438823	Mexico	Grandota Criolla	Cucurbita pepo	NA	NA	Landrace	South/Latin America	1e-5	0.842475	0.022633	0.07551	1e-5	1e-5	1e-5	0.041047	0.018286	1e-5	6	120
PI_512185	Mexico	Calabaza india	Cucurbita pepo	Single fruit, green-grey with pronounced ribs.	NA	Cultivated material	South/Latin America	1e-5	0.90899	0.005847	0.061942	0.014184	1e-5	0.008988	1e-5	1e-5	1e-5	6	136
PI_512186	Mexico	Calabaza india	Cucurbita pepo	Single fruit, green-grey with pronounced ribs.	NA	Cultivated material	South/Latin America	1e-5	0.89484	1e-5	0.094907	1e-5	1e-5	0.010183	1e-5	1e-5	1e-5	6	125
PI_442292	Mexico	Calabaza de India	Cucurbita pepo	Primitive plant.	NA	Landrace	South/Latin America	0.041494	0.799176	1e-5	0.145655	1e-5	0.012971	1e-5	6.54e-4	1e-5	1e-5	6	155
PI_615118	Mexico	GN 84-84	Cucurbita pepo	NA	NA	Cultivated material	South/Latin America	1e-5	0.942577	1e-5	1e-5	0.02573	1e-5	1e-5	1e-5	0.031622	1e-5	6	87
PI_512190	Mexico	Calabaza india	Cucurbita pepo	Single fruit long, large curved and ribbed.	NA	Cultivated material	South/Latin America	1e-5	0.926897	0.015378	0.057655	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	6	134
PI_615132	Mexico	P 5444	Cucurbita pepo	Only two fruits available, others (larger) were retained as source of seed for next year's planting.	NA	Uncertain improvement status	South/Latin America	1e-5	0.777324	0.035503	1e-5	1e-5	0.1799	0.007212	1e-5	1e-5	1e-5	6	160
PI_615121	Mexico	Guiches (Guichayota)	Cucurbita pepo	Single fruit collection from second stop in town with 5384 and 5386.	NA	Landrace	South/Latin America	0.003612	0.766612	1e-5	0.054373	1e-5	0.071	0.02297	0.081393	1e-5	1e-5	6	157
PI_615122	Mexico	Guiches (Guichayota)	Cucurbita pepo	Single fruit collection from second stop in town with 5384 and 5385.	NA	Landrace	South/Latin America	1e-5	0.827695	1e-5	0.067244	1e-5	0.070517	1e-5	1e-5	0.034484	1e-5	6	116
PI_442315	Mexico	Calabaza de India	Cucurbita pepo	Fruits light green, mottled, cylindrical, 17cm long, 17cm diam.	NA	Landrace	South/Latin America	0.009153	0.871518	1e-5	0.104955	1e-5	1e-5	1e-5	1e-5	0.014314	1e-5	6	122
PI_615124	Mexico	Huitzayota	Cucurbita pepo	Single fruit sample.	NA	Landrace	South/Latin America	1e-5	0.807313	1e-5	0.081527	1e-5	0.108218	0.002882	1e-5	1e-5	1e-5	6	115
