accession_id	removed	country	accession_name	taxonomy	improvement_status	cultivar_class	narrative	region	1	2	3	4	5	6	grp	pos
PI_183314		India	Sakatatti	Cucurbita maxima	NA	NA	NA	Asia	0.236691	0.176481	1E-05	0.001808	0.37751	0.207499	6	18
PI_175125		India	Kadu	Cucurbita maxima	NA	NA	Fruit elongate, 25 by 10 inches, ashy, unribbed; not sweet but tasty; flesh 2 1/2 inches thick and orange-colored.	Asia	1E-05	1E-05	0.16021	0.833171	1E-05	0.006589	1	399
PI_175126		India	Kadu	Cucurbita maxima	NA	NA	Fruit subvoid, 15 inches in diameter, ashy, unribbed.	Asia	1E-05	0.079058	0.175387	0.588935	0.059348	0.097262	1	449
PI_121912		India	No. 1629	Cucurbita maxima	NA	NA	NA	Asia	0.08737	0.025916	1E-05	0.886685	1E-05	1E-05	1	391
PI_174823		India	Kadu	Cucurbita maxima	NA	NA	Fruit subglobose, 15 by 12 inches, heavily ribbed, grey, squash-type. Not sweet but tasty.	Asia	0.061403	0.162924	0.066114	0.302832	0.240213	0.166514	5	105
PI_121915		India	No Known Plant ID	Cucurbita maxima	NA	NA	NA	Asia	0.23124	0.017376	1E-05	0.751354	1E-05	1E-05	1	388
PI_121913		India	Kadu	Cucurbita maxima	NA	NA	NA	Asia	0.021011	0.036994	1E-05	0.870807	0.071168	1E-05	1	406
PI_166046		India	Kadu	Cucurbita maxima	NA	NA	NA	Asia	0.344229	0.062912	1E-05	0.571312	1E-05	0.021527	1	412
PI_121910		India	No. 1680	Cucurbita maxima	NA	NA	NA	Asia	0.459408	0.165955	1E-05	0.291817	1E-05	0.082801	2	333
PI_141638		Iran	Kaduetambal	Cucurbita maxima	NA	NA	NA	Asia	0.745243	0.254714	1E-05	1E-05	1.3E-05	1E-05	2	373
PI_137889		Iran	Kadu	Cucurbita maxima	NA	NA	PI book claims this acc. is C.Pepo.	Asia	0.595441	0.168192	0.122475	0.025093	0.070996	0.017804	2	379
PI_137871		Iran	Kadu	Cucurbita maxima	NA	NA	NA	Asia	0.616546	0.139419	1E-05	0.113815	1E-05	0.1302	2	382
PI_143281		Iran	No. 7644	Cucurbita maxima	NA	NA	Fruit globose, 12 inches long, pale salmon; flesh orange, 1.5 to 2.5 inches thick, insipid.	Asia	0.426081	0.564188	1E-05	0.009701	1E-05	1E-05	5	191
PI_137887		Iran	Kadu	Cucurbita maxima	NA	NA	Fruit globose, 12 inches in diameter; rind red orange and deeply ribbed; flesh 2 inches thick, orange yellow ; good flavor but not very sweet. PI book claims this acc. is C.Pepo.	Asia	0.924027	0.063862	0.006303	1E-05	1E-05	0.005787	2	316
PI_143284		Iran	No. 7735	Cucurbita maxima	NA	NA	Cultivated for the seeds.	Asia	0.338169	0.082415	0.092811	0.318013	0.133872	0.03472	5	119
PI_222784		Iran	Kadoo	Cucurbita maxima	NA	NA	Fruit reddish-orange, up to 2 feet in diameter.	Asia	0.359566	0.603886	1E-05	1E-05	1E-05	0.036518	5	188
PI_141640		Iran	Kadu	Cucurbita maxima	NA	NA	NA	Asia	0.779867	0.116483	1E-05	1E-05	0.050423	0.053206	2	370
PI_211997		Iran	No. 5	Cucurbita maxima	NA	NA	NA	Asia	0.552195	1E-05	1E-05	0.389119	0.043292	0.015374	2	329
PI_137866		Iran	No. 5241	Cucurbita maxima	NA	NA	NA	Asia	0.893716	0.089347	1E-05	1E-05	1E-05	0.016906	2	314
PI_141632		Iran	Kadu	Cucurbita maxima	NA	NA	NA	Asia	0.550359	0.175587	0.079825	0.114581	0.05844	0.021209	2	387
PI_223353		Iran	No. 1478	Cucurbita maxima	NA	NA	Fruit pear-shaped, reddish, to 6 inches in diameter and 1 foot long.	Asia	0.205214	0.434515	1E-05	0.279391	0.023329	0.057541	5	114
PI_227361		Iran	No. 14869	Cucurbita maxima	NA	NA	NA	Asia	0.635558	0.179378	0.021822	0.076441	1E-05	0.086791	2	383
