accession_id	country	accession_name	taxonomy	narrative	cultivar_class	improvement_status	region	1	2	3	4	5	6	grp	pos
PI_169441	Turkey	BOGUNLER 2196	Cucurbita moschata	NA	NA	NA	Europe	0.888508	1e-5	0.111452	1e-5	1e-5	1e-5	6	26
PI_438781	Mexico	HW 0179	Cucurbita moschata	Fruit ovoid, ribbed tan with buff mottling, 25cm diam., 20cm long.	NA	NA	South/Latin America	0.006934	0.07064	1e-5	0.922396	1e-5	1e-5	3	147
PI_438782	Mexico	HW 0179	Cucurbita moschata	Fruit flattened globose, slightly ribbed, warty, buff.	NA	NA	South/Latin America	1e-5	0.023944	1e-5	0.966997	1e-5	0.009029	3	143
PI_438784	Mexico	HW 0179	Cucurbita moschata	Fruit ovate, slightly ribbed, orange, 30cm diam., 30cm long.	NA	NA	South/Latin America	0.00991	0.853472	0.010223	0.126375	1e-5	1e-5	2	213
PI_312165	Mexico	CALABASA LECHONGA	Cucurbita moschata	NA	NA	NA	South/Latin America	1e-5	0.049421	0.007028	1e-5	1e-5	0.94352	1	268
PI_262890	Mexico	CALABASRO SEGUALCA	Cucurbita moschata	Fruit large, oblong, dark green; squash and seeds eaten	NA	NA	South/Latin America	0.183539	0.033137	0.139734	0.52291	0.088909	0.031771	3	173
PI_438731	Mexico	HW 0179	Cucurbita moschata	Fruit flattened-oblate, deeply ribbed at base, dark buff. Rind hard. Flesh  medium thick, light orange. Locally called Knoc kun (Cascara dura).	NA	NA	South/Latin America	1e-5	1e-5	3.73e-4	1e-5	1e-5	0.999587	1	255
PI_438724	Mexico	HW 0179	Cucurbita moschata	Obtained from Moises Gomez. Fruit flattened ovoid, ribbed, buff. Rind hard.  Flesh thick, orange. Locally called Tockun.	NA	NA	South/Latin America	1e-5	0.037132	1e-5	0.045166	0.006593	0.911089	1	245
PI_438780	Mexico	HW 0179	Cucurbita moschata	NA	NA	NA	South/Latin America	1e-5	1e-5	1e-5	0.99995	1e-5	1e-5	3	141
PI_442263	Mexico	NA	Cucurbita moschata	Fruits green, light green striped, yellow at maturity, pyriform with pronounced  neck, 23cm long, 15cm diam. Rind 1 mm thick. Flesh lemon yellow. Local name  Calabaza de Castilla.	NA	NA	South/Latin America	0.013007	1e-5	0.149559	0.823997	0.013417	1e-5	3	154
