country	accession_id	accession_name	taxonomy	narrative	cultivar_class	improvement_status	region
Spain	PI_512751	AS-CU-3	Cucurbita pepo	Sown February, harvested September. Used for black pudding and livestock feed.	NA	Landrace	Europe
Spain	PI_512886	V-CU-125	Cucurbita pepo	Sown May, harvested October. Used for hay.	NA	Cultivar	Europe
Spain	PI_512789	E-CU-5	Cucurbita pepo	Sown March, harvested September.	NA	Landrace	Europe
Spain	PI_512793	E-CU-9	Cucurbita pepo	Sown April, harvested August. Used for stew.	NA	Landrace	Europe
Spain	PI_512794	E-CU-10	Cucurbita pepo	Sown April, harvested August. Used for stew.	NA	Landrace	Europe
Spain	PI_512796	E-CU-12	Cucurbita pepo	Sown April, harvested September. Used for stew.	NA	Landrace	Europe
Spain	PI_512799	S-CU-1	Cucurbita pepo	Sown February-March, harvested September-October. Used for stew and black pudding.	NA	Landrace	Europe
Spain	PI_512801	S-CU-3	Cucurbita pepo	Sown February, harvested September. Used for livestock feed.	NA	Landrace	Europe
Spain	PI_512826	V-CU-32	Cucurbita pepo	Sown March, harvested October-November. Local consumption.	NA	Cultivar	Europe
Spain	PI_512803	S-CU-5	Cucurbita pepo	Sown March, harvested October. Used for animal feed.	NA	Landrace	Europe
Spain	PI_512804	V-CU-2	Cucurbita pepo	Sown March-April, harvested June.	NA	Landrace	Europe
Spain	PI_512880	V-CU-116	Cucurbita pepo	Sown May, harvested October. Used for hay.	NA	Landrace	Europe
Spain	PI_615134	Calabacino	Cucurbita pepo	Sown March, harvested May-June. Fruits elongated, whitish.	NA	Landrace	Europe
Spain	PI_512807	V-CU-5	Cucurbita pepo	Sown March, harvested August. Self-consumption.	NA	Landrace	Europe
Spain	PI_512810	V-CU-10	Cucurbita pepo	Sown March-April, harvested June-September. Self-consumption	NA	Landrace	Europe
Spain	PI_512812	V-CU-13	Cucurbita pepo	Sown March-April, harvested October-November. Used for decorating.	NA	Landrace	Europe
Spain	PI_512693	V-CU-106	Cucurbita pepo	Sown March, harvested October. Used for self-consumption. Received as Cucurbita maxima, winter squash.	NA	Cultivar	Europe
Spain	PI_512817	V-CU-18	Cucurbita pepo	Sown April, harvested June. Self-consumption.	NA	Landrace	Europe
Spain	PI_512820	V-CU-21	Cucurbita pepo	Sown April, harvested June-July. Self-consumption.	NA	Landrace	Europe
Spain	PI_512822	V-CU-26	Cucurbita pepo	Sown February-June, harvested May. Local-consumption.	NA	Cultivar	Europe
Spain	PI_512823	V-CU-27	Cucurbita pepo	Sown February-June, harvested May. Local consumption.	NA	Cultivar	Europe
Spain	PI_512863	V-CU-86	Cucurbita pepo	Sown April, harvested August-September. Used for decorating.	NA	Landrace	Europe
Spain	PI_512831	V-CU-46	Cucurbita pepo	Sown April, harvested May-June. Local consumption.	NA	Cultivar	Europe
Spain	PI_512741	AN-CU-38	Cucurbita pepo	Sown May-June, harvested September-October. Used cooked and for stew.	NA	Landrace	Europe
Spain	PI_512744	AN-CU-42	Cucurbita pepo	Sown April, harvested July-August.	NA	Landrace	Europe
Spain	PI_512805	V-CU-3	Cucurbita pepo	Sown March, harvested June-July. Used for cooking.	NA	Landrace	Europe
Spain	PI_512750	AS-CU-2	Cucurbita pepo	Sown February, harvested September. Used for cooking.	NA	Landrace	Europe
Spain	PI_512851	V-CU-74	Cucurbita pepo	Sown April, harvested August-September.	NA	Landrace	Europe
Spain	PI_512857	V-CU-80	Cucurbita pepo	Sown April, harvested August-September. Used for decorating.	NA	Landrace	Europe
Spain	PI_512858	V-CU-81	Cucurbita pepo	Sown April, harvested August-September. Used for decorating.	NA	Landrace	Europe
Spain	PI_512859	V-CU-82	Cucurbita pepo	Sown April, harvested August-September. Used for decorating.	NA	Landrace	Europe
Spain	PI_512860	V-CU-83	Cucurbita pepo	Sown April, harvested August-September. Used for decorating.	NA	Landrace	Europe
Spain	PI_512861	V-CU-84	Cucurbita pepo	Sown April, harvested August-September. Used for decorating.	NA	Landrace	Europe
Spain	PI_512757	C-CU-2	Cucurbita pepo	Sown March, harvested July. Self-consumption and markets.	NA	Landrace	Europe
Spain	PI_537504	Bubango	Cucurbita pepo	Sown February, harvested June. Not irrigated. Fruits elongated and rounded, variable colors. Received as Cucurbita sp.	NA	Landrace	Europe
Spain	PI_512869	V-CU-98	Cucurbita pepo	Sown April, harvested August-September. Self-consumption.	NA	Cultivar	Europe
Spain	PI_512870	V-CU-99	Cucurbita pepo	Sown March, harvested June-July. Self-consumption.	NA	Cultivar	Europe
Spain	PI_512874	V-CU-108	Cucurbita pepo	Sown May, harvested October. Used fried.	NA	Landrace	Europe
Spain	PI_512836	V-CU-53	Cucurbita pepo	Sown March, harvested September. Animal feed.	NA	Landrace	Europe
Spain	PI_512787	E-CU-3	Cucurbita pepo	Sown March, harvested September.	NA	Landrace	Europe
Spain	PI_512788	E-CU-4	Cucurbita pepo	Sown March, harvested September.	NA	Landrace	Europe
Spain	PI_537555	Carabassa llarga	Cucurbita pepo	Sown April-May, harvested July.  Used as food. Received as Cucurbita sp.	NA	Cultivar	Europe
Spain	PI_537560	Calabaza	Cucurbita pepo	Sown May-June, harvested September.  Seed used for food consumption. Received as Cucurbita sp.	NA	Landrace	Europe
Spain	PI_537562	N-CU-2	Cucurbita pepo	Used as adornment. Received as Cucurbita sp.	NA	Landrace	Europe
