country	accession_id	accession_name	taxonomy	improvement_status	cultivar_class	narrative	region
United States	PI_245142	No Known Plant ID	Cucurbita maxima	NA	NA	Selection made from PI 176536. Fruits oblate, 8 by 10 inches; ribs 1 inch wide; flesh light yellow.	North America
United States	PI_349354	No Known Plant ID	Cucurbita maxima	NA	NA	NA	North America
United States	G_32304	'Mountaineer PS Hubbard'	Cucurbita maxima	Cultivar	Hubbard	NA	North America
United States	PI_518678	Banana Squash	Cucurbita maxima	Cultivated	NA	Local type. Peduncle tan, corky. Fruit pink, smooth and unmarked with a light green zone at flower end. Seeds deep tan.	North America
United States	G_32228	Black Eagle	Cucurbita maxima	Cultivar	NA	NA	North America
United States	PI_318433	Ames 724	Cucurbita maxima	Breeding	NA	Male sterile F.  Segregates (approximately) 1 normal to 1 male sterile. Vigorous, bush type. Fruits many, oblate 1 to 1.25 inches, light orange.	North America
United States	G_28226	'Orangetti'	Cucurbita maxima	Cultivar	NA	NA	North America
United States	G_30405	Uchiki Kuri	Cucurbita maxima	Cultivar	Kuri	NA	North America
United States	PI_302417	Banquet Squash	Cucurbita maxima	Cultivated	NA	Oblate shaped friut; 6 - 10 inches by 4 - 5.5 inches with grooves, flesh orange 1 to 1.5 inches thick.	North America
Argentina	G_23725	Alayo	Cucurbita maxima	NA	NA	NA	South/Latin America
Argentina	PI_458661	TW 1080	Cucurbita maxima	NA	NA	Probably a mixture of local types. Local name Zapallo.	South/Latin America
Argentina	PI_458678	TWW-48	Cucurbita maxima	NA	NA	Donated by L.O. Melis.  Bush type.  Seeds white, margins white.  Local name Tanca.	South/Latin America
Argentina	PI_458662	TW 1080	Cucurbita maxima	NA	NA	Fruit medium-sized with deep vein tracts, rough surface. Probably from Misiones. Local name Zapallo.	South/Latin America
Argentina	PI_458694	TWW-64	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Bush type. Seeds medium-sized, white, more or less marginless. Local name Taplop.	South/Latin America
Argentina	G_23726	Alayo	Cucurbita maxima	NA	NA	NA	South/Latin America
Argentina	G_23731	Maluen	Cucurbita maxima	NA	NA	NA	South/Latin America
Argentina	PI_458693	TWW-63	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Bush type. Seeds medium-sized, roundish, white, margins light. Local name Vinaca.	South/Latin America
Argentina	G_23728	Chiuque	Cucurbita maxima	NA	NA	NA	South/Latin America
Argentina	PI_458696	TWW-66	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Seeds large, white, margins light. Local name Carla.	South/Latin America
Argentina	PI_458663	TW 1080	Cucurbita maxima	NA	NA	Fruit medium-sized, Probably elongate, with a rough surface. Probably from Misiones. Local name Zapallo.	South/Latin America
Argentina	PI_458688	TWW-58	Cucurbita maxima	NA	NA	Donated by L.O. Melis.  Bush type.  Seeds small, white, margins light. Local name Maguilta.	South/Latin America
Argentina	PI_458689	TWW-59	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Seeds small, white, margins light. Local name Pallamay.	South/Latin America
Argentina	PI_458699	TWW-69	Cucurbita maxima	NA	NA	Seeds white, medium-sized, margins present. Local name Campana-Labanda-70.	South/Latin America
Argentina	PI_458676	TWW-46	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Bush type. Seeds white, marginless. Local name Supupa.	South/Latin America
Argentina	PI_458677	TWW-47	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Bush type. Seeds white, margins present. Local name Sipigua.	South/Latin America
Argentina	PI_458709	TWW-86	Cucurbita maxima	NA	NA	Donated by J. Camara-Hernandez. Seeds medium to large, white, margins darker.	South/Latin America
Argentina	PI_458710	TWW-87	Cucurbita maxima	NA	NA	Donated by J. Camara-Hernandez. Seeds large, white, margins slightly darker.	South/Latin America
Argentina	PI_458714	TWW-92	Cucurbita maxima	NA	NA	Donated by J. Camara-Hernandez.  Seeds medium-sized, pure white, margins same color.	South/Latin America
Argentina	PI_458682	TWW-52	Cucurbita maxima	NA	NA	Donated by L.O. Melis.  Bush type.  Seeds white, margins white.  Local name Malopara.	South/Latin America
Argentina	PI_458698	TWW-68	Cucurbita maxima	NA	NA	Seeds white, medium-sized, margins present. Local name Zapallito del Tronco (Cochi magnif.).	South/Latin America
Argentina	PI_458665	TW 1080	Cucurbita maxima	NA	NA	Fruit surface rough. Probably from Misiones. Local name Zapallo.	South/Latin America
Argentina	PI_458666	TW 1080	Cucurbita maxima	NA	NA	Fruit surface rough. Flesh yellow, thick. Seeds large, yellow. Probably from Misiones. Local name Zapallo.	South/Latin America
Argentina	PI_265557	No Known Plant ID	Cucurbita maxima	NA	NA	NA	South/Latin America
Argentina	PI_458701	TWW-71	Cucurbita maxima	NA	NA	Seeds white, small, margins broad. Local name Zipinki Campana.	South/Latin America
Argentina	PI_458702	TWW-72	Cucurbita maxima	NA	NA	Seeds Banana type, large, tan, margins broad, light. Local name Plomo ruso (Plaunorskja).	South/Latin America
Argentina	G_23732	Maluen	Cucurbita maxima	NA	NA	NA	South/Latin America
Argentina	G_23733	Pichagua	Cucurbita maxima	NA	NA	NA	South/Latin America
Argentina	PI_458692	TWW-62	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Bush type. Seeds medium-sized, white, margins light. Local name Vistalba.	South/Latin America
Argentina	PI_458691	TWW-61	Cucurbita maxima	NA	NA	Donated by L.O. Melis.  Winter bush type.  Seeds large, white, margins white.  Local name Marino de Mendoza.	South/Latin America
Argentina	G_23734	Pichagua	Cucurbita maxima	NA	NA	NA	South/Latin America
Argentina	PI_458679	No Known Plant ID	Cucurbita maxima	NA	NA	Donated by L.O. Melis.  Seeds white, margins white.  Local name Relanta.	South/Latin America
Argentina	PI_458695	TWW-65	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Seeds medium-sized, white, with slight sculpturing, margins light. Local name Sayanca.	South/Latin America
Argentina	PI_458697	TWW-67	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Bush type. Seeds medium-sized, white, margins darker. Local name Pichagua.	South/Latin America
Argentina	PI_458664	TW 1080	Cucurbita maxima	NA	NA	Fruit surface rough. Probably from Misiones. Local name Zapallo.	South/Latin America
Argentina	PI_199508	Trouce	Cucurbita maxima	Cultivar	NA	NA	South/Latin America
Argentina	PI_458669	Hubbard Rojo	Cucurbita maxima	NA	NA	Warted Hubbard type, fruit skin orange. Local name Zapallo.	South/Latin America
Argentina	PI_458687	TWW-57	Cucurbita maxima	NA	NA	Donated by L.O. Melis.  Bush type.  Seeds white, margins light.  Local name Choay.	South/Latin America
Argentina	G_23729	Malopara	Cucurbita maxima	NA	NA	NA	South/Latin America
Argentina	G_23730	Malopara	Cucurbita maxima	NA	NA	NA	South/Latin America
Argentina	PI_458690	TWW-60	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Bush type. Seeds medium-sized, white, more or less marginless. Local name Chacoriano.	South/Latin America
Argentina	PI_458704	TWW-78	Cucurbita maxima	NA	NA	Donated by J. Camara-Hernandez.  Seeds medium-sized, creamy white, margins darker.	South/Latin America
Argentina	PI_162671	Forrajero	Cucurbita maxima	NA	NA	NA	South/Latin America
Argentina	PI_458683	TWW-53	Cucurbita maxima	NA	NA	Donated by L.O. Melis.  Seeds white, sculptured, marginless.  Local name Vistalba.	South/Latin America
Argentina	PI_458660	TW 1080	Cucurbita maxima	NA	NA	Probably a mixture of local types. Local name Zapallo.	South/Latin America
Argentina	PI_458708	TWW-82	Cucurbita maxima	NA	NA	Donated by J. Camara-Hernandez. Seeds medium-sized, white, margins white.	South/Latin America
Argentina	PI_458686	TWW-56	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Seeds white, margins almost white. Local name Chinque.	South/Latin America
Argentina	PI_458670	TW 1080	Cucurbita maxima	NA	NA	Probably imported from Misiones. Fruit yellow, rough surface, deep vein tracts,  skin orange. Flesh yellow. Local name Zapallo.	South/Latin America
Argentina	PI_458684	TWW-54	Cucurbita maxima	NA	NA	Donated by L.O. Melis.  Seeds small, white, almost marginless.  Local name Alayo.	South/Latin America
Argentina	G_23727	Chiuque	Cucurbita maxima	NA	NA	NA	South/Latin America
Argentina	PI_458675	TWW-45	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Bush type. Fruit white. Local name Naclao.	South/Latin America
