country	accession_id	accession_name	taxonomy	narrative	cultivar_class	improvement_status	region
Mexico	PI_442273	NA	Cucurbita moschata	Fruits green, light green striped, turban-shaped, 16cm long, 20cm diam.	NA	"NA"	South/Latin America
Mexico	PI_438792	HW 0179	Cucurbita moschata	"NA"	NA	"NA"	South/Latin America
Mexico	PI_438794	HW 0179	Cucurbita moschata	Fruit spindle shaped, light buff, 30cm diam., 64cm long.	NA	"NA"	South/Latin America
Mexico	PI_438795	HW 0179	Cucurbita moschata	Fruit long elliptic, shallow ribs, light buff, mottled tan and green,  20cm diam., 45cm long. Many seeds germinating. Locally called Tomala.	NA	"NA"	South/Latin America
Mexico	PI_442258	NA	Cucurbita moschata	Fruits dark green, tan-striped, turban-shaped, 11cm long, 18cm diam. Local name  Calabaza.	NA	"NA"	South/Latin America
Mexico	PI_438798	HW 0179	Cucurbita moschata	Fruit long necked, 12cm diam. at widest part, 30cm long, orange buff, green  on neck.	NA	"NA"	South/Latin America
Mexico	PI_438799	HW 0179	Cucurbita moschata	"NA"	NA	"NA"	South/Latin America
Mexico	PI_438800	HW 0179	Cucurbita moschata	"NA"	NA	"NA"	South/Latin America
Mexico	PI_438739	HW 0179	Cucurbita moschata	Fruit small, deeply ribbed at stem end, apically dome-shaped, smooth, dark  orange buff, marked brown. Rind soft.	NA	"NA"	South/Latin America
Mexico	PI_438802	HW 0179	Cucurbita moschata	Obtained from Alfonso Lopez. Forage type.	NA	"NA"	South/Latin America
Mexico	PI_438708	NA	Cucurbita moschata	Locally called Tallallota.	NA	"NA"	South/Latin America
Mexico	PI_438808	HW 0179	Cucurbita moschata	Obtained from F. Cardenas R.	NA	"NA"	South/Latin America
Mexico	PI_438748	HW 0179	Cucurbita moschata	"NA"	NA	"NA"	South/Latin America
Mexico	PI_438750	HW 0179	Cucurbita moschata	"NA"	NA	"NA"	South/Latin America
Mexico	PI_438751	HW 0179	Cucurbita moschata	"NA"	NA	"NA"	South/Latin America
Mexico	PI_438752	HW 0179	Cucurbita moschata	"NA"	NA	"NA"	South/Latin America
Mexico	PI_438753	HW 0179	Cucurbita moschata	Fruit flat, 10 lobed, 25cm diam., tan with dark green reticulations.	NA	"NA"	South/Latin America
Mexico	PI_438796	HW 0179	Cucurbita moschata	Seeds mixed.	NA	"NA"	South/Latin America
Mexico	PI_442278	NA	Cucurbita moschata	Fruits dark tan, black mottling, slight bloom, turban-shaped, 12cm long, 14cm  diam. Local name Calabaza.	NA	"NA"	South/Latin America
Mexico	PI_438759	HW 0179	Cucurbita moschata	Fruit flattened ovate, shallow ribs, white, 23cm diam.	NA	"NA"	South/Latin America
Mexico	PI_438760	HW 0179	Cucurbita moschata	Fruit ovoid, shallow ribs, white, 17cm diam., 23cm long. Flesh cream.	NA	"NA"	South/Latin America
Mexico	PI_442247	NA	Cucurbita moschata	Vines. Fruits light tan, slightly green mottled, 16cm long, 18cm diam. Local name Calabasa.	NA	"NA"	South/Latin America
